"","mod","form","loglik","AIC","dAIC","w","edf","PRED"
"15","b15","Y + S + H + L1 + J + rW + DEPTH + S:J",-16824.1307657442,33774.2615314885,0,0.1836,63,TRUE
"19","b19","Y + S + H + J + rW + DEPTH + S:J",-16826.2608594176,33774.5217188352,0.26018734673562,0.1612,61,TRUE
"21","b21","Y + S + H + L1 + J + rW + DEPTH + L2 + S:J",-16822.8827073289,33775.7654146577,1.50388316926546,0.0865,65,FALSE
"20","b20","Y + S + H + J + rW + DEPTH + L2 + S:J",-16824.9023908499,33775.8047816998,1.54325021131081,0.0849,63,FALSE
"6","b6","Y + S + H + L1 + J + rW + S:J",-16869.1379437156,33862.2758874312,88.0143559427233,0,62,FALSE
"7","b7","Y + S + H + J + rW + S:J",-16871.1824685868,33862.3649371736,88.103405685084,0,60,FALSE
"5","b5","Y + S + H + L2 + J + rW + S:J",-16869.8397095859,33863.6794191718,89.4178876833103,0,62,FALSE
"4","b4","Y + S + H + L1 + L2 + J + rW + S:J",-16867.900721778,33863.801443556,89.5399120674774,0,64,FALSE
"10","b10","S + H + L1 + L2 + J + rW + S:J",-16911.6295880573,33933.2591761145,158.997644626055,0,55,FALSE
"9","b9","Y + S + H + L1 + L2 + J + rW + J:DEPTH + J:DEPTH",-17288.7552975738,34649.5105951476,875.249063659125,0,36,FALSE
"14","b14","Y + S + H + J + rD + S:J",-16591.7587229546,33303.5174459092,0,0.1836,60,TRUE
"16","b16","Y + S + H + J + rD + S:J",-16591.7587229546,33303.5174459092,0,0.1836,60,TRUE
"12","b12","Y + S + H + L1 + J + rD + S:J",-16591.4714004717,33306.9428009433,3.4,0.0335,62,FALSE
"13","b13","Y + S + H + L2 + J + rD + S:J",-16591.7012722864,33307.4025445728,3.9,0.0261,62,FALSE
"17","b17","Y + S + H + J + rD + L2 + S:J",-16591.7012725861,33307.4025451722,3.9,0.0261,62,FALSE
"18","b18","Y + S + H + J + rD + L2 + S:J",-16591.7012725861,33307.4025451722,3.9,0.0261,62,FALSE
"11","b11","Y + S + H + L1 + L2 + J + rD + S:J",-16591.4206717797,33310.8413435594,7.3,0.0048,64,FALSE
"22","b22","Y + S + H + L1 + J + rW + DEPTH + L2 + S:J",-16822.8827073289,33775.7654146577,472.2,0,65,FALSE
"1","b1","Y + S + H + L1 + L2 + J + S:J",-17410.5139496256,34947.0278992512,1643.5,0,63,FALSE
"2","b2","Y + S + H + L1 + J + S:J",-17417.2805712277,34956.5611424554,1653,0,61,FALSE
"3","b3","Y + S + H + L1 + L2 + J + S:J + Y:S",NA,NA,NA,NA,198,FALSE
"8","b8","Y + S + H + L1 + L2 + J + rW + S:J + Y:S",NA,NA,NA,NA,199,FALSE
