"","X","J","edate","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",31,363,2011-12-29,0.0132718877133502,0.00944401987900451,0.0186221061047406,0.842215185632039,0.493342782070302,1.43779628422359
"2",30,360,2011-12-26,0.017325148925107,0.0128715096605341,0.0232834334629522,0.971601110540975,0.609733906239991,1.5482306434717
"3",29,357,2011-12-23,0.0221868219109801,0.0171133409999735,0.0287204540812639,1.10154603047612,0.734598364198917,1.65179194018615
"4",28,354,2011-12-20,0.0278541988706572,0.0221696377199404,0.0349442605235362,1.22693527678045,0.86173605392681,1.74690401608307
"5",27,351,2011-12-17,0.0342622861414473,0.0279572022636971,0.0419279973701287,1.34220909346526,0.983201322208958,1.83230556132018
"6",26,348,2011-12-14,0.0412743061321627,0.0343023643385205,0.0495905242081628,1.44176419355739,1.09023154266215,1.90664451401619
"7",25,345,2011-12-11,0.048679581973544,0.0409548774596888,0.057773511333534,1.52041090101196,1.17478825740589,1.9677157082081
"8",24,342,2011-12-08,0.0562005565411209,0.0476196928863157,0.0662201433360311,1.5738338794451,1.23125873512892,2.01172426998447
"9",23,339,2011-12-05,0.0635091128146864,0.053991951055301,0.074571624222446,1.5989982608377,1.25744664995016,2.03332319368248
"10",22,336,2011-12-02,0.0702506134730032,0.059781668998163,0.082392220385531,1.59444634759537,1.2543256158985,2.02679361972461
"11",21,333,2011-11-29,0.076072678821072,0.0647268432398894,0.0892175881361343,1.56044313552475,1.22496698802868,1.98779461242861
"12",20,330,2011-11-26,0.0806550474751786,0.0686014319673908,0.0946114094657496,1.4989497187256,1.17344074109638,1.91475392031151
"13",19,327,2011-11-23,0.0837369906350792,0.0712229487698918,0.0982172641427488,1.4134284244959,1.10409419058283,1.8094288768229
"14",18,324,2011-11-20,0.0851394621652838,0.0724602131490895,0.0997986394319513,1.30850757891404,1.02117823282327,1.67668290318111
"15",17,321,2011-11-17,0.0847801026157663,0.0722399412983069,0.0992642069440576,1.18955258890124,0.928668977576115,1.52372416429261
"16",16,318,2011-11-14,0.0826800652171546,0.0705511472138299,0.0966772566970251,1.06220025411938,0.830183498714549,1.35906023378961
"17",15,315,2011-11-11,0.0789622677316103,0.0674475129096722,0.0922483818096217,0.931913558665953,0.72895600728048,1.19137900250719
"18",14,312,2011-11-08,0.0738411669860855,0.0630492106264307,0.0863101888785617,0.803605437382983,0.627876985926389,1.02851627542725
"19",13,309,2011-11-05,0.0676046852800223,0.0575460456234883,0.0792736161118244,0.681364722464323,0.52959374481855,0.876630227530252
"20",12,306,2011-11-02,0.060589642269806,0.0512009101656878,0.0715701245880348,0.568299199029412,0.436618316591505,0.73969406995729
"21",11,303,2011-10-30,0.0531529582243713,0.0443451970214212,0.0635936887866817,0.466493054743596,0.351318221754571,0.619426368029486
"22",10,300,2011-10-27,0.0456417836283342,0.0373531725272749,0.0556632746136294,0.377061900244568,0.275694672588363,0.515699760467718
"23",9,297,2011-10-24,0.0383662237348776,0.0305930040964521,0.0480166723571735,0.300279657531788,0.211042352346216,0.427250131193985
"24",8,294,2011-10-21,0.0315781394224345,0.0243723410883336,0.0408252182865797,0.235748333103165,0.157730918401281,0.352354992440527
"25",7,291,2011-10-18,0.0254585091195584,0.0189017101643258,0.0342104805176882,0.182583270843541,0.115247583397016,0.289261169816331
"26",6,288,2011-10-15,0.020114237604531,0.0142851831187087,0.0282536555073449,0.139591476951506,0.0824398839827865,0.236363511156463
"27",5,285,2011-10-12,0.0155835529368655,0.0105331244733446,0.0229992761653945,0.105427350666126,0.0578175352899246,0.192241440468583
"28",4,282,2011-10-09,0.0118477490041891,0.0075866072812154,0.0184577171852838,0.0787171207019376,0.0398113574604415,0.155643652637578
"29",3,279,2011-10-06,0.00884634685684627,0.00534443553553277,0.0146091634533364,0.0581493605526915,0.0269505839806918,0.125464744478613
"30",2,276,2011-10-03,0.00649282083457407,0.00368697668410966,0.011409501417045,0.0425335091085056,0.0179604072955311,0.100727080812553
"31",1,273,2011-09-30,0.00468867512878257,0.00249405471896906,0.00879740004133864,0.0308311797241654,0.01179815865278,0.0805686439010384
