"","hour","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",0,0.108512175722587,0.0156612923402589,0.201363059104914,0.82947495835511,-0.127310501392281,1.7862604181025
"2",1,0.109759816005171,0.0160026122273009,0.20351701978304,0.847665842068888,-0.129399167232703,1.82473085137048
"3",2,0.115509586876881,0.0176163905326546,0.213402783221107,0.905853158837574,-0.132222055019922,1.94392837269507
"4",3,0.125938156620995,0.0207132778884693,0.231163035353521,1.00755631381072,-0.135459850844476,2.15057247846591
"5",4,0.141238350831339,0.0256489641077551,0.256827737554923,1.15792181564234,-0.138958461694734,2.45480209297942
"6",5,0.161410602595422,0.032859512498745,0.289961692692098,1.36207439937336,-0.142774767483024,2.86692356622974
"7",6,0.18598675154937,0.0427095721614503,0.329263930937289,1.62224011309374,-0.147229294928337,3.39170952111582
"8",7,0.213770712563012,0.0552352755648367,0.372306149561188,1.93357517945284,-0.152973073270005,4.02012343217569
"9",8,0.242733929864967,0.0698437792812767,0.415624080448657,2.27948132415031,-0.161034415869357,4.71999706416997
"10",9,0.270182186416276,0.0851346073499352,0.455229765482616,2.62849034055565,-0.172683089880966,5.42966377099226
"11",10,0.293185705726644,0.0990249595742975,0.487346451878991,2.93576886040754,-0.18882846725537,6.06036618807045
"12",11,0.309119079449506,0.109217864153584,0.509020294745429,3.15151101631547,-0.208826782210971,6.51184881484192
"13",12,0.316120074880623,0.113844016959798,0.518396132801447,3.23508772035551,-0.229280799911808,6.69945624062283
"14",13,0.31336718382259,0.112014221562498,0.514720146082683,3.16927408656566,-0.244256159683545,6.58280433281487
"15",14,0.301183421161703,0.104082907579586,0.49828393474382,2.96698331740304,-0.247875761559888,6.18184239636597
"16",15,0.280997074328808,0.09154327161705,0.470450877040565,2.66644261353474,-0.237917290947229,5.5708025180167
"17",16,0.25514511622855,0.0765842100515266,0.433706022405574,2.31760535270796,-0.217342037306814,4.85255274272273
"18",17,0.226489207042014,0.061456293783202,0.391522120300826,1.96724182279812,-0.192371986440005,4.12685563203624
"19",18,0.197891141200281,0.0478968435778808,0.347885438822682,1.6492455719807,-0.168999442016599,3.46749058597799
"20",19,0.171709881765433,0.0368459058153248,0.306573857715542,1.38215677560847,-0.150696776827987,2.91501032804492
"21",20,0.149508445877409,0.02850897090905,0.270507920845769,1.17192743020993,-0.138261079513911,2.48211593993377
"22",21,0.132048330399706,0.0226287235647479,0.241467937234663,1.01670620226237,-0.130894793230812,2.16430719775555
"23",22,0.11949909273478,0.0187753452745015,0.220222840195059,0.911275718161368,-0.127324965214173,1.94987640153691
"24",23,0.111721561636494,0.0165456863431167,0.206897436929871,0.850170748969085,-0.126413544589468,1.82675504252764
"25",24,0.108512175722587,0.0156612923402589,0.201363059104914,0.82947495835511,-0.127310501392279,1.7862604181025
