"","MOON","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",0,0.247311550306816,0.195254854986286,0.299368245627345,3.55979535298686,1.25741091860338,5.86217978737033
"2",0.418879020478639,0.250188916485102,0.197716359980807,0.302661472989398,3.36086557719,1.18687616553309,5.5348549888469
"3",0.837758040957278,0.253887056167212,0.200894524517557,0.306879587816867,3.22384948572103,1.14116793446204,5.30653103698001
"4",1.25663706143592,0.257782579323458,0.204232998554504,0.311332160092412,3.26997159855236,1.15791802596567,5.38202517113905
"5",1.67551608191456,0.261195336029423,0.207129899759304,0.315260772299542,3.56460965030692,1.25571455796851,5.87350474264532
"6",2.0943951023932,0.263510434728148,0.209058809306181,0.317962060150116,4.08272556610586,1.42963720622473,6.73581392598698
"7",2.51327412287183,0.264301005859797,0.209677572995712,0.318924438723882,4.66201072426992,1.6311768501578,7.69284459838203
"8",2.93215314335047,0.263419522584494,0.208893077475431,0.317945967693557,5.02820133564235,1.76415708972998,8.29224558155473
"9",3.35103216382911,0.261030419845246,0.20686731753923,0.315193522151263,4.99231408412534,1.75435174839833,8.23027641985234
"10",3.76991118430775,0.257573770439164,0.203971509427243,0.311176031451085,4.63376181619439,1.62836263628297,7.63916099610582
"11",4.18879020478639,0.25367140756245,0.20070852796547,0.30663428715943,4.20374444459989,1.47745571397241,6.93003317522738
"12",4.60766922526503,0.250003384517118,0.197625297246654,0.302381471787583,3.89900916701032,1.37104753067855,6.42697080334209
"13",5.02654824574367,0.247186822453416,0.19522972864792,0.299143916258912,3.76854993478571,1.32692765971024,6.21017220986119
"14",5.44542726622231,0.245680546094762,0.193918802752477,0.297442289437047,3.74229636183811,1.32102766930872,6.16356505436751
"15",5.86430628670095,0.245724433474329,0.193920714300426,0.297528152648232,3.69887090003839,1.30770942627683,6.09003237379995
"16",6.28318530717959,0.247311550306816,0.195254854986286,0.299368245627345,3.55979535298686,1.25741091860338,5.86217978737033
